ID,Start time,Completion time,Time to Complete,Email,Name,Last modified time,What did you like most about your visit?,What rewards would interest you most?,How likely are you to return?,How satisfied were you with your food quality?,What could we improve?,How satisfied were you with the speed of service?,How would you rate your overall experience?
1,04/09/2026 13:39:38,04/09/2026 13:40:06,00:28,anonymous,,,Friendly staff,Free items,4,4,Pricing,4,9
2,04/09/2026 13:39:49,04/09/2026 13:40:17,00:28,anonymous,,,Taste and cleanliness,Discounts,5,5,Price,5,9
3,04/09/2026 13:41:25,04/09/2026 13:43:09,01:44,anonymous,,,The food was well prepared,Free items,4,4,Faster delivery time ,3,8
4,04/09/2026 13:43:51,04/09/2026 13:44:30,00:39,anonymous,,,The food ,Points,5,5,Bigger portions,5,9
5,04/09/2026 13:46:07,04/09/2026 13:46:40,00:33,anonymous,,,The food tasted good and the environment was nice.,Points,5,5,,5,10
6,04/09/2026 13:46:18,04/09/2026 13:46:47,00:29,anonymous,,,,Discounts,5,4,,4,7
7,04/09/2026 13:47:32,04/09/2026 13:47:41,00:09,anonymous,,,,Discounts,5,5,,5,
8,04/09/2026 13:49:22,04/09/2026 13:51:44,02:22,anonymous,,,the food,Free items,3,3,,3,7
9,04/09/2026 13:48:36,04/09/2026 13:54:32,05:56,anonymous,,,Fast service,Discounts,4,3,Less salt,5,7
10,04/09/2026 13:53:42,04/09/2026 13:54:33,00:51,anonymous,,,Sauces comes with wings,Discounts,4,5,More meal options,3,9
11,04/09/2026 13:53:11,04/09/2026 13:56:05,02:54,anonymous,,,fried chicken,Free items,4,4,more chicken,4,8
12,04/09/2026 13:55:03,04/09/2026 13:56:07,01:04,anonymous,,,,Free items,4,4,More spirit options for the bar,4,7
13,04/09/2026 14:27:27,04/09/2026 14:47:59,20:32,anonymous,,,i love the family meal,Free items,4,4,cheaper deals,3,6
14,04/09/2026 16:28:48,04/09/2026 16:30:25,01:37,anonymous,,,The cozy atmosphere as well as the daily specials and affordability,Free items,3,4,faster service,3,7
15,04/09/2026 13:44:41,04/09/2026 17:23:27,38:46,anonymous,,,Chicken,Free items,3,4,More drink options,4,8
16,04/09/2026 17:48:31,04/09/2026 17:49:44,01:13,anonymous,,,The rice,Free items,5,2,More gluten-free options please,4,5
17,04/10/2026 10:16:39,04/10/2026 10:18:30,01:51,anonymous,,,food was delicious ,Discounts,5,5,vegan options,5,9
18,04/10/2026 14:22:27,04/10/2026 14:23:03,00:36,anonymous,,,The Mango Habanero Wings,Discounts,5,5,More sauce on the wings,3,8
19,04/10/2026 14:57:43,04/10/2026 14:58:58,01:15,anonymous,,,The chicken,Free items,3,4,Better portion sizes,4,7
,,,13:52,,,,,10,,,,,
,,,,,,,,12,,,,,
